,Cadence,Power,Resistance
7,60.0,18.0,19.0
8,61.0,18.0,19.0
9,61.0,19.0,19.0
10,62.0,19.0,19.0
11,63.0,19.0,19.0
12,63.0,19.0,19.0
13,65.0,20.0,19.0
14,69.0,22.0,19.0
16,73.0,24.0,19.0
17,76.0,24.0,19.0
18,75.0,24.0,19.0
19,76.0,25.0,19.0
20,78.0,25.0,19.0
21,79.0,26.0,19.0
22,79.0,26.0,19.0
23,78.0,25.0,19.0
24,81.0,27.0,19.0
25,88.0,30.0,19.0
26,92.0,33.0,19.0
27,93.0,33.0,19.0
28,91.0,32.0,19.0
29,93.0,33.0,19.0
30,93.0,33.0,19.0
31,96.0,34.0,19.0
32,98.0,36.0,19.0
33,99.0,36.0,19.0
34,101.0,37.0,19.0
35,102.0,38.0,19.0
36,99.0,36.0,19.0
37,97.0,35.0,19.0
38,94.0,33.0,19.0
39,91.0,32.0,19.0
40,88.0,31.0,19.0
41,84.0,29.0,19.0
42,80.0,27.0,19.0
43,78.0,25.0,19.0
44,75.0,24.0,19.0
45,73.0,23.0,19.0
46,70.0,22.0,19.0
47,70.0,22.0,19.0
48,72.0,23.0,19.0
49,84.0,29.0,19.0
50,88.0,32.0,21.0
51,88.0,34.0,21.0
52,89.0,35.0,21.0
53,96.0,39.0,21.0
54,102.0,43.0,21.0
55,106.0,46.0,21.0
56,101.0,43.0,21.0
57,97.0,40.0,21.0
58,94.0,38.0,21.0
59,91.0,36.0,21.0
60,87.0,34.0,21.0
61,82.0,31.0,21.0
62,79.0,30.0,21.0
63,76.0,28.0,21.0
65,68.0,24.0,21.0
66,66.0,23.0,21.0
67,65.0,22.0,21.0
68,63.0,22.0,21.0
69,61.0,20.0,21.0
70,60.0,20.0,21.0
71,60.0,20.0,23.0
72,63.0,23.0,23.0
73,70.0,28.0,23.0
74,76.0,32.0,23.0
75,80.0,34.0,23.0
76,84.0,37.0,23.0
77,83.0,37.0,23.0
78,85.0,38.0,23.0
79,88.0,40.0,23.0
80,91.0,42.0,23.0
81,95.0,45.0,23.0
82,98.0,47.0,23.0
83,101.0,50.0,23.0
84,102.0,50.0,23.0
85,97.0,47.0,23.0
86,93.0,43.0,23.0
87,88.0,40.0,23.0
88,83.0,37.0,23.0
89,89.0,40.0,23.0
90,96.0,46.0,23.0
91,100.0,49.0,23.0
92,103.0,51.0,23.0
93,100.0,51.0,25.0
94,93.0,51.0,25.0
95,89.0,46.0,24.0
96,86.0,42.0,24.0
97,84.0,40.0,24.0
98,94.0,47.0,24.0
99,100.0,52.0,24.0
100,103.0,55.0,24.0
101,99.0,52.0,24.0
102,95.0,49.0,24.0
103,90.0,45.0,24.0
104,87.0,42.0,24.0
